predict_type,known_columns,num_known_columns,secret_column,predicted_value,true_value,encoded_predicted_value,encoded_true_value,prediction,base_confidence,attack_confidence
base,"[""f1"", ""i2""]",2,t1,c,c,2,2,True,0.54,
attack,"[""f1"", ""i2""]",2,t1,c,c,2,2,True,,1.0
base,"[""f1"", ""i2""]",2,t1,a,a,0,0,True,0.58,
attack,"[""f1"", ""i2""]",2,t1,a,a,0,0,True,,0.75
base,"[""f1"", ""i2""]",2,t1,a,c,0,2,False,0.55,
attack,"[""f1"", ""i2""]",2,t1,c,c,2,2,True,,1.0
base,"[""f1"", ""i2""]",2,t1,b,d,1,3,False,0.64,
attack,"[""f1"", ""i2""]",2,t1,d,d,3,3,True,,1.0
base,"[""f1"", ""i2""]",2,t1,a,d,0,3,False,0.51,
attack,"[""f1"", ""i2""]",2,t1,d,d,3,3,True,,1.0
base,"[""f1"", ""i2""]",2,t1,a,b,0,1,False,0.64,
attack,"[""f1"", ""i2""]",2,t1,b,b,1,1,True,,0.6666666666666666
base,"[""f1"", ""i2""]",2,t1,b,a,1,0,False,0.53,
attack,"[""f1"", ""i2""]",2,t1,a,a,0,0,True,,1.0
base,"[""f1"", ""i2""]",2,t1,a,b,0,1,False,0.51,
attack,"[""f1"", ""i2""]",2,t1,b,b,1,1,True,,0.6666666666666666
base,"[""f1"", ""i2""]",2,t1,d,c,3,2,False,0.87,
attack,"[""f1"", ""i2""]",2,t1,c,c,2,2,True,,0.75
base,"[""f1"", ""i2""]",2,t1,a,a,0,0,True,0.42,
attack,"[""f1"", ""i2""]",2,t1,a,a,0,0,True,,1.0
base,"[""f1"", ""i2""]",2,t1,d,c,3,2,False,0.67,
attack,"[""f1"", ""i2""]",2,t1,c,c,2,2,True,,1.0
base,"[""f1"", ""i2""]",2,t1,a,d,0,3,False,0.65,
attack,"[""f1"", ""i2""]",2,t1,d,d,3,3,True,,1.0
base,"[""f1"", ""i2""]",2,t1,c,a,2,0,False,0.63,
attack,"[""f1"", ""i2""]",2,t1,a,a,0,0,True,,1.0
